reviewId,content,score,at
850d7081-9b6d-4023-ad85-831522900466,mauvaise expérience commande non livrée et ils m'ont pas remboursé,1,2025-10-03 20:59:23
76722719-6058-4727-8181-546945f43921,"j'ai commander aujourd'hui sur votre site a burger King Chaumont 52000 a mon nom payer 32,71€ reçu endommagé manquant j'ai demander au livreur de recommencer la commande il la abandonné mais je suis prélever très déçu ne pas commander en Uber eats !!!!!!!",1,2025-10-03 20:50:57
f24d24ef-74c2-4a85-8856-21b252f61b5c,affreux toujours des problèmes de livraison et en plus tu paye pour ne pas avoir de frais et tu retrouve a payer des frais je ́ne recommande sur pas cette application attention a vous,1,2025-10-03 20:10:26
429960be-9573-4f90-b13b-70f62b4110c8,l'appli beugue et lente,3,2025-10-03 20:09:55
f0b23a80-0b80-4021-bd4e-f87913b828d5,long,1,2025-10-03 20:08:06
49d171a0-de7c-4903-ae09-511421473b00,"Uber cancel my delivery, took my food. uber ""cancelled"" my order but charged me 3 as I was responsible for this. no possible way to contact them.",1,2025-10-03 19:19:11
ae7a2c21-4676-40f5-ba2e-3df2a0fff061,"pas de resultion de mon problème. argent débité, commande jamais livré alors que l application dit le contraire. donc pas moyen de se faire rembourser pour une commande jamais recu. c est vraiment prendre les gens pour des cons. du coup me retrouve sans rien pour ma famille ! !",1,2025-10-03 18:32:48
902683f3-d69b-4661-8397-3a14ceabdf92,"aller chez la concurrence, le service après-vente ne suit plus, malheureusement !",1,2025-10-03 18:32:34
65bf6de8-445b-4d7c-81d4-0bd0e16b6586,"tout est parfait sauf les frais, merci",4,2025-10-03 14:26:43
764879d9-0191-4f20-95b6-79db1c9f5efb,le livreur est repartit avec ma commande pour se la dégommer et maintient qu'il l'a laissé devant la porte. Les caméras de surveillance de la résidence prouvent le contraire. La plateforme soutient qu'il a suivi la procédure. Ils appliquent des process honteux et n'ont aucun respect pour les clients et les restaurants. A fuir et a boycotter.,1,2025-10-03 09:29:48
ff46cfaf-87fb-43c2-a663-58e2ce02330d,parfait,5,2025-10-03 00:46:58
0aaeedfc-4624-44af-83a3-d35c5eed9e7b,une pension positive pour le livreur,5,2025-10-02 23:09:37
cf1a2208-0bac-4e71-a2c3-f597f6963f34,impossible de valider un numéro de la Réunion..,2,2025-10-02 20:22:45
e1e9899f-5bd0-4c82-93c1-ca01e30da2c1,"le système de paiement est très fragile, il marche moins d'une fois sur 4. c'est très frustrant",1,2025-10-02 20:14:22
4bf7acfc-05f6-40ce-bcf9-7b63c90f88ba,déjà quelques temps que les commandes n'arrivent même pas à la maison,1,2025-10-02 20:01:46
2a037f9c-4a26-4be9-8c9f-f024e1ecaeb2,"Cela fait plusieurs mois que je commande à différents établissements à moins de 10km autour de chez moi et du jour au lendemain , c'est écrit que tout les établissements sont trop loin pour être livré alors que j'ai déjà fait plusieurs commandes chez eux auparavant. INCOMPRÉHENSIBLE.",1,2025-10-02 19:14:53
f971e583-6583-479e-849d-8c91e18eca33,ça dépend c'est correct puis tu es déçu à la finalité,3,2025-10-02 18:49:38
d750e984-5dae-41cc-898a-8fbdb8f97a32,My order was stolen and the company said they are not responsible,1,2025-10-02 14:54:30
fd8663be-e9fd-4ad4-af9d-8c494deed133,vraiment nulle j'ai effectué plusieurs certicode qui a été validé mes la commande ne passer pas mais pour insister d'avoir un abonnement pour plus payer des frais la blague prend les gens pour des cons merci ça m'a donné l'envie de ne pas commander chez Uber et de faire mes courses seule quelle plaisir d'avant et surtout mon cher que Uber illusion,1,2025-10-02 14:42:51
ba87eda8-64f5-455b-a183-45c708f7dede,"Je ne reçois jamais de courriel promotionnel, mais ma blonde oui",1,2025-10-02 01:52:54
eca1a378-a4fc-4b1c-91d5-ea47704fc630,"livraison jamais arrivée ! aucune réponse du pourquoi du comment sur l'application. 3 livreurs pour une même livraison.... le seul livreur qu'on arrive à avoir au téléphone ne parle pas français ! utilisez deliveroo, ils sont bien meilleurs !",1,2025-10-01 23:30:21
e470a1c8-f708-4c3e-a61b-084fa835f91e,Numéro de service client pas joignable,1,2025-10-01 22:15:13
ff141c53-2773-44c9-bc0a-8606dfdf4105,Quand on fait un achat avec une offre 1 acheté 1 offert on s'attend à recevoir deux plats. C'est un peu le principe...,2,2025-10-01 21:47:23
